Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664213874.4706306,0,63475,0,GPS1_Frame1,42.33864833333333,-71.08859333333334,1.2,4689489.672295145,327944.21773117565,19,T
1664213875.4693978,0,63476,0,GPS1_Frame1,42.33864833333333,-71.08859333333334,1.2,4689489.672295145,327944.21773117565,19,T
1664213876.4696963,0,63477,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213877.4686768,0,63478,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213878.468795,0,63479,0,GPS1_Frame1,42.33864833333333,-71.088595,1.3,4689489.675667646,327944.08042746165,19,T
1664213879.468179,0,63480,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213880.4691713,0,63481,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213881.4691494,0,63482,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213882.4679315,0,63483,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213883.469068,0,63484,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213884.4684675,0,63485,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213885.4683797,0,63486,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213886.487956,0,63487,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213887.4682066,0,63488,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213888.4667883,0,63489,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213889.4869335,0,63490,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213890.487178,0,63491,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213891.4684265,0,63492,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213892.4696498,0,63493,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213893.4679465,0,63494,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213894.4864118,0,63495,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213895.4883437,0,63496,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213896.4871817,0,63497,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213897.4869397,0,63498,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213898.4687164,0,63499,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213899.4677317,0,63500,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213900.467337,0,63501,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213901.4672785,0,63502,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213902.4869242,0,63503,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213903.4687364,0,63504,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213904.468904,0,63505,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213905.488894,0,63506,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213906.4894795,0,63507,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213907.4694366,0,63508,0,GPS1_Frame1,42.33864833333333,-71.088595,1.2,4689489.675667646,327944.08042746165,19,T
1664213908.4696608,0,63509,0,GPS1_Frame1,42.33864833333333,-71.088595,1.0,4689489.675667646,327944.08042746165,19,T
1664213909.4870849,0,63510,0,GPS1_Frame1,42.33864833333333,-71.088595,1.0,4689489.675667646,327944.08042746165,19,T
1664213910.4890885,0,63511,0,GPS1_Frame1,42.33864833333333,-71.088595,1.0,4689489.675667646,327944.08042746165,19,T
1664213911.46878,0,63512,0,GPS1_Frame1,42.33864666666667,-71.088595,1.0,4689489.49059698,327944.07588168967,19,T
1664213912.4692705,0,63513,0,GPS1_Frame1,42.33864666666667,-71.088595,1.0,4689489.49059698,327944.07588168967,19,T
1664213913.4874456,0,63514,0,GPS1_Frame1,42.33864666666667,-71.088595,1.0,4689489.49059698,327944.07588168967,19,T
1664213914.4875083,0,63515,0,GPS1_Frame1,42.33864666666667,-71.088595,1.0,4689489.49059698,327944.07588168967,19,T
1664213915.4874506,0,63516,0,GPS1_Frame1,42.33864666666667,-71.088595,1.0,4689489.49059698,327944.07588168967,19,T
1664213916.468469,0,63517,0,GPS1_Frame1,42.33864666666667,-71.088595,1.0,4689489.49059698,327944.07588168967,19,T
1664213917.4692805,0,63518,0,GPS1_Frame1,42.33864666666667,-71.088595,1.0,4689489.49059698,327944.07588168967,19,T
1664213918.46954,0,63519,0,GPS1_Frame1,42.33864666666667,-71.088595,1.0,4689489.49059698,327944.07588168967,19,T
1664213919.4694538,0,63520,0,GPS1_Frame1,42.33864666666667,-71.08859666666666,1.0,4689489.493969484,327943.9385779679,19,T
1664213920.4699914,0,63521,0,GPS1_Frame1,42.33864666666667,-71.08859666666666,1.0,4689489.493969484,327943.9385779679,19,T
1664213921.4692712,0,63522,0,GPS1_Frame1,42.33864666666667,-71.08859666666666,1.0,4689489.493969484,327943.9385779679,19,T
1664213922.4719012,0,63523,0,GPS1_Frame1,42.33864666666667,-71.08859666666666,1.0,4689489.493969484,327943.9385779679,19,T
